English ,Spanish ,Chinese 
Berkeley Free Clinic ,Berkeley Free Clinic (en inglés),伯克利免费诊所
Home,Inicio.,首页。
About Us,Sobre nosotros,关于我们
Current Services,Servicios actuales,当前的服务
Get Involved,participar,参与
News,noticias,新闻
Client Portal,Portal del cliente,客户门户网站
Our Services,Nuestros servicios,我们的服务
We offer in-person drop-in services (no appointment needed!). We also offer medical and counseling appointments over the phone.,Ofrecemos servicios de entrega en persona (sin cita necesaria!). También ofrecemos citas médicas y de asesoramiento por teléfono.,我们提供上门服务(不需要预约!)我们还通过电话提供医疗和咨询预约。
Monday to Friday: 6pm - 8:30pm,De lunes a viernes de 18:00 a 20:30 hs,星期一至五:下午六时至八时三十分
Saturday: 11am - 1:30pm,Sábado: 11:00h - 13:30h,星期六:上午11时至下午1时30分
Sunday: 4:30pm - 7pm,Domingo: 4:30pm - 7pm,星期日:下午四时三十分至七时
List of Current Services,Lista de servicios actuales,现时服务一览表
Healthcare for people. Not profit. ,Salud para las personas. Sin fines de lucro.,人们的医疗保健。没有利润。
"We believe that healthcare is a fundamental human right, that power and knowledge should be shared collectively, and that everyone has the right to basic knowledge about their bodies.","Creemos que la salud es un derecho humano fundamental, que el poder y el conocimiento deben compartirse colectivamente, y que todo el mundo tiene derecho a un conocimiento básico sobre su cuerpo.",我们认为，医疗保健是一项基本人权，权力和知识应该集体分享，每个人都有权了解自己身体的基本知识。
Donate,donar,捐赠
Client Care,Atención al cliente,客户关怀
"At the Berkeley Free Clinic, we treat each client with respect and dignity and view their needs within the larger context of their unique circumstances and access to resources. Treatments, referrals and guidance are provided in a client-centered context, and are appropriate to their lifestyle, culture, language and financial situation. We attempt to include clients as thoroughly as possible in their health care process.","En la clínica gratuita de Berkeley, tratamos a cada cliente con respeto y dignidad y vemos sus necesidades dentro del contexto más amplio de sus circunstancias únicas y acceso a los recursos. Los tratamientos, las referencias y la orientación se proporcionan en un contexto centrado en el cliente, y son apropiados a su estilo de vida, cultura, idioma y situación financiera. Tratamos de incluir a los clientes lo más exhausposible en su proceso de atención médica.",在伯克利免费诊所，我们以尊重和尊严对待每一位客户，并在他们独特的环境和获得资源的更大背景下看待他们的需求。治疗、转诊和指导是在以客户为中心的环境中提供的，并且适合他们的生活方式、文化、语言和经济状况。我们试图将客户尽可能彻底地纳入他们的医疗保健过程。
Standards of Client Care,Normas de atención al cliente,客户服务标准
CHARGED FOR CLINIC SERVICES,Se cobra por los servicios de la clínica,诊所服务收费
"Fees have never been charged for any services, materials, medications or supplies provided at the Berkeley Free Clinic.","Nunca se han cobrado honorarios por ningún servicio, materiales, medicamentos o suministros proporcionados en la Berkeley Free Clinic.",伯克利免费诊所提供的任何服务、材料、药物或用品从未收取费用。
YEARS SERVING THE COMMUNITY,Años al servicio de la comunidad,服务社会的年数
"The Berkeley Free Clinic is a radical, do-it-yourself health collective that has been providing dental and medical care, peer counseling, and community referrals since 1969.","La clínica libre de Berkeley es un radical, colectivo de la salud del hágalo usted mismo que ha estado proporcionando cuidado dental y médico, Consejo de pares, y referencias de la comunidad desde 1969.",伯克利免费诊所是一个激进的，自己动手的健康集体，自1969年以来一直提供牙科和医疗保健，同伴咨询和社区转诊。
CLINIC SECTIONS,Secciones de clínica,诊所的部分
The Berkeley Free Clinic is made up of 13 sections which each provide distinct services.,La clínica libre de Berkeley se compone de 13 secciones que cada una proporciona servicios distintos.,伯克利免费诊所由13个部门组成，每个部门提供不同的服务。
"“As a professional, I knew that an invested dollar at the BFC could go a lot farther than with other organizations and matching the standards of any clinic I had ever served in.”","Como profesional, sabía que un dólar invertido en el BFC podría ir mucho más lejos que con otras organizaciones y igualar los estándares de cualquier clínica en la que alguna vez haya servido.",“作为一名专业人士，我知道在BFC投资的一美元可以比在其他机构投资走得更远，也可以达到我曾经服务过的任何诊所的标准。”
"Leroy Blea, MPH","Leroy Blea, MPH",Leroy Blea，公共卫生硕士
